"","Body_type","number_of_seats","length_mm","curb_weight_kg","maximum_torque_n_m","injection_type","cylinder_layout","number_of_cylinders","compression_ratio","engine_type","valves_per_cylinder","boost_type","engine_placement","engine_hp","drive_wheels","number_of_gears","transmission","fuel_grade","Fuel_Economy"
"3",1,"2","4420","1440","434",41,53,8,9,16,2,9,9,260,29,4,35,"95",8
"10",2,"4","4660","1615","407",42,53,8,9,16,4,9,9,354,29,6,36,"95",13.4
"12",2,"4","4660","1615","427",42,53,8,9,16,4,9,9,326,29,5,36,"98",12.2
"13",3,"2","4155","1155","407",42,53,8,9,16,2,9,9,228,29,5,36,"95",14.4
"16",3,"2","4115","980","579",43,53,8,9,16,2,9,9,370,29,5,36,"95",15.7
"37",2,"5","4380","1225","172",41,54,4,9,16,4,9,9,144,30,4,35,"92",8.5
"38",2,"5","4380","1225","172",41,54,4,9,16,4,9,9,144,30,5,36,"92",8.5
"39",2,"5","4380","1235","173",41,54,4,9,16,4,9,9,172,30,5,36,"95",8.4
"40",2,"5","4380","1220","178",41,54,4,9,16,4,9,9,190,30,5,36,"95",8.8
"41",2,"5","4380","1220","176",41,54,4,9,16,4,9,9,197,30,5,36,"95",8.6
"50",4,"5","4525","1190","173",41,54,4,9,16,4,9,9,144,30,4,35,"80",8.4
"51",4,"5","4525","1190","173",41,54,4,9,16,4,9,9,144,30,5,36,"80",8.4
"52",4,"5","4525","1275","173",41,54,4,9,16,4,9,9,172,30,5,36,"95",8.6
"55",5,"5","4788","1963","332",42,53,6,9,16,4,9,9,240,31,5,35,"92",13.2
"60",5,"7","4844","2059","375",42,53,6,9,16,4,9,9,304,32,5,35,"92",12.1
"61",5,"7","4935","2039","355",44,53,6,9,16,4,9,9,290,31,6,35,"95",10.4
"65",1,"2","4425","1425","284",41,53,6,9,16,4,9,9,274,29,5,36,"95",10
"69",2,"2","4425","1410","284",42,53,6,9,16,4,9,9,255,29,5,36,"95",10
"70",2,"2","4425","1370","284",41,53,6,9,16,4,9,9,274,29,5,36,"95",10
"71",2,"2","4425","1445","298",42,53,6,9,16,4,9,9,280,29,6,36,"95",12
"73",5,"5","4590","1780","353",41,54,4,9,16,4,9,9,240,31,5,35,"92",11.8
"75",5,"5","4685","1761","340",41,53,6,9,16,4,9,9,273,31,6,35,"95",10
"91",2,"4","4374","1260","193",41,54,4,9,16,4,9,9,200,30,6,36,"95",8.7
"93",5,"5","4740","1880","260",41,53,6,9,16,4,9,9,177,31,5,35,"92",16
"94",5,"5","4720","2095","312",41,53,6,9,16,4,9,9,215,31,4,35,"92",15
"107",4,"5","4966","1978","254",41,53,6,9,16,4,9,9,280,30,5,35,"98",11.2
"108",4,"5","4966","1978","275",41,53,6,9,16,4,9,9,305,31,5,35,"92",11.8
"109",4,"5","4832","1580","182",44,54,4,9,16,4,9,9,206,30,8,37,"92",8.4
"110",4,"5","4832","1631","267",44,53,6,9,16,4,9,9,290,30,9,35,"92",9.4
"111",4,"5","4832","1700","267",44,53,6,9,16,4,9,9,290,31,9,35,"92",9.4
"115",4,"5","4727","1495","254",41,54,6,9,16,4,9,9,280,30,5,35,"95",11.2
"116",4,"5","4727","1495","254",41,54,6,9,16,4,9,9,280,30,6,36,"95",11.2
"118",5,"5","4887","Other","270",41,53,6,9,16,4,9,9,304,31,6,35,"95",13.1
"146",6,"5","4095","1135","124",41,54,4,9,16,4,9,9,103,30,5,36,"95",7.9
"147",6,"5","4095","1147","115",41,54,4,9,16,2,9,9,90,30,5,36,"95",8.2
"148",6,"5","4095","1147","134",41,55,4,9,16,2,9,9,103,30,5,36,"95",8.1
"149",6,"5","4095","1165","144",41,54,4,9,16,4,9,9,120,30,5,36,"95",8.1
"150",6,"5","4095","1265","148",41,55,4,9,16,4,9,9,129,30,5,36,"95",8.5
"151",6,"5","4095","1195","168",41,54,4,9,16,4,9,9,144,30,5,36,"95",8.4
"152",6,"5","4095","1210","186",44,54,4,9,17,2,167,9,90,30,5,36,"diesel",6.2
"153",6,"5","4095","1322","187",41,54,4,9,16,4,9,9,150,30,5,36,"95",8.4
"154",6,"5","4095","1240","187",41,54,4,9,16,4,9,9,155,30,5,36,"95",8.4
"171",7,"5","4255","1160","124",42,54,4,9,16,4,9,9,103,30,5,36,"95",8.5
"172",7,"5","4257","1175","115",41,55,4,9,16,2,9,9,89,30,5,36,"95",8.3
"173",7,"5","4257","1175","134",42,55,4,9,16,2,9,9,103,30,5,36,"95",8.2
"174",7,"5","4235","1190","144",42,54,4,9,16,4,9,9,120,30,5,36,"95",8.2
"175",7,"5","4257","1225","148",42,55,4,9,16,4,9,9,129,30,5,36,"95",8.5
"177",7,"5","4235","1245","255",42,54,4,9,17,2,167,9,105,30,5,36,"diesel",6.5
"178",7,"5","4257","1245","186",42,54,4,9,17,2,167,9,90,30,5,36,"diesel",6.2
"179",7,"5","4257","1225","138",42,54,4,9,16,4,9,9,150,30,5,36,"95",8.9
"180",7,"5","4235","1275","187",42,54,4,9,16,4,9,9,155,30,5,36,"95",8.9
"181",6,"5","4213","1360","300",41,53,6,9,16,4,9,9,250,30,6,36,"95",12.1
"182",6,"5","4170","1190","140",41,54,4,9,16,4,9,9,105,30,5,36,"95",8.1
"183",6,"5","4170","1200","148",41,54,4,9,16,4,9,9,120,30,5,36,"95",8.2
"184",6,"5","4170","1345","200",44,54,4,9,17,2,167,9,100,30,5,36,"diesel",5.8
"186",6,"5","4170","1270","275",44,54,4,9,17,2,167,9,115,30,5,36,"diesel",5.8
"187",6,"5","4170","1275","305",44,54,4,9,17,4,167,9,140,30,6,36,"diesel",5.9
"188",6,"5","4170","1250","181",41,54,4,9,16,4,9,9,150,30,5,36,"95",8.9
"211",6,"5","4170","1200","146",41,54,4,9,16,4,9,9,120,30,5,36,"95",8.3
"212",6,"5","4170","1250","181",42,54,4,9,16,4,9,9,150,30,5,36,"95",8.9
"213",6,"5","4170","1250","181",41,54,4,9,16,4,9,9,150,30,5,37,"95",8.9
"214",6,"5","4223","1190","140",41,54,4,9,16,4,9,9,105,30,5,36,"95",8.1
"215",6,"5","4170","1200","146",41,54,4,9,16,4,9,9,120,30,5,36,"95",8.3
"216",6,"5","4223","1250","184",41,54,4,9,16,4,9,9,150,30,5,36,"95",8.9
"217",6,"5","4170","1250","184",41,54,4,9,16,4,9,9,150,30,5,37,"95",8.9
"251",4,"5","4443","1325","144",41,54,4,9,16,4,9,9,120,30,5,36,"95",7.8
"252",4,"5","4443","1400","146",41,54,4,9,16,4,9,9,115,30,5,36,"95",8.1
"253",4,"5","4443","1325","165",41,54,4,9,16,4,9,9,140,30,5,36,"95",7.9
"254",4,"5","4443","1415","187",41,54,4,9,16,4,9,9,150,30,5,36,"95",8.3
"255",4,"5","4443","1535","293",41,54,4,9,16,4,167,9,187,31,5,36,"95",9.8
"256",4,"5","4443","1492","216",41,53,6,9,16,2,9,9,165,30,5,36,"95",9.3
"257",4,"5","4443","1495","294",44,54,4,9,17,2,167,9,125,30,5,36,"diesel",7.1
"277",8,"5","4430","1460","300",41,53,6,9,16,4,9,9,250,30,6,36,"95",12.1
"298",8,"5","4441","1510","305",42,54,4,9,17,4,167,9,150,31,6,36,"diesel",7.1
"299",4,"5","4430","1410","300",41,53,6,9,16,4,9,9,250,30,6,36,"95",12.1
"300",4,"5","4435","1265","146",42,54,4,9,16,4,9,9,120,30,5,36,"95",8
"301",4,"5","4435","1265","163",41,54,4,9,16,4,9,9,140,30,5,36,"95",8.6
"302",4,"5","4435","1305","275",45,54,4,9,17,2,167,9,115,30,5,36,"diesel",6
"303",4,"5","4435","1305","305",45,54,4,9,17,4,167,9,140,30,6,36,"diesel",6.1
"304",4,"5","4435","1285","206",41,54,4,9,16,4,9,9,165,30,5,36,"95",8.9
"305",4,"5","4430","1435","305",44,54,5,9,17,2,167,9,150,30,5,36,"diesel",6.6
"306",4,"5","4435","1385","385",45,54,5,9,17,4,167,9,175,30,6,36,"diesel",6.7
"307",4,"5","4435","1405","218",41,53,6,9,16,4,9,9,192,30,4,35,"95",11.8
"308",4,"5","4435","1405","218",45,53,6,9,16,4,9,9,192,30,6,36,"95",11.8
"309",8,"5","4430","1280","144",41,54,4,9,16,4,9,9,120,30,5,36,"95",8.2
"310",4,"5","4660","1430","320",44,54,4,9,16,4,167,9,200,30,6,36,"95",8.1
"311",4,"5","4660","1435","175",41,54,4,9,16,4,9,9,140,30,5,36,"95",7.6
"312",4,"5","4660","1480","280",45,54,4,9,17,2,167,9,115,30,6,36,"diesel",5.2
"313",4,"5","4660","1480","280",45,54,4,9,17,2,167,9,120,30,6,36,"diesel",5.2
"314",4,"5","4660","1480","280",45,54,4,9,17,2,167,9,120,30,6,36,"diesel",5.9
"315",4,"5","4660","1490","305",45,54,4,9,17,4,167,9,136,30,6,36,"diesel",5.7
"316",4,"5","4660","1490","320",45,54,4,9,17,4,167,9,150,30,6,36,"diesel",5.7
"317",4,"5","4660","1495","320",45,54,4,9,17,4,167,9,150,30,6,35,"diesel",6.8
"318",4,"5","4660","1480","190",44,54,4,9,16,4,9,9,160,30,6,36,"95",8.7
"319",4,"5","4660","1490","360",45,54,4,9,17,4,167,9,163,30,6,36,"diesel",5.1
"320",4,"5","4660","1490","360",45,54,4,9,17,4,167,9,170,30,6,36,"diesel",5.1
"321",4,"5","4660","1490","360",45,54,4,9,17,4,167,9,170,30,6,36,"diesel",5.4
"322",4,"5","4660","1445","230",44,54,4,9,16,4,9,9,185,30,6,36,"95",9.4
"323",4,"5","4660","1445","230",44,54,4,9,16,4,9,9,185,30,6,37,"95",9.2
"324",4,"5","4660","1585","400",45,54,5,9,17,4,167,9,200,30,6,36,"diesel",6.8
"325",4,"5","4660","1585","400",45,54,5,9,17,4,167,9,210,30,6,36,"diesel",6.8
"326",4,"5","4660","1585","400",45,54,5,9,17,4,167,9,200,30,6,35,"diesel",7.9
"327",4,"5","4660","1645","400",45,54,5,9,17,4,167,9,210,31,6,36,"diesel",7.2
"328",4,"5","4660","1540","322",44,53,6,9,16,4,9,9,260,30,6,36,"95",11
"329",4,"5","4660","1610","322",44,53,6,9,16,4,9,9,260,31,6,35,"95",12.2
"330",4,"5","4660","1610","322",44,53,6,9,16,4,9,9,260,31,6,36,"95",11.4
"331",8,"5","4660","1480","320",44,54,4,9,16,4,167,9,200,30,6,36,"95",8.3
"332",8,"5","4660","1435","175",41,54,4,9,16,4,9,9,140,30,5,36,"95",7.8
"333",8,"5","4660","1530","280",45,54,4,9,17,2,167,9,115,30,6,36,"diesel",5.3
"334",8,"5","4660","1530","280",45,54,4,9,17,2,167,9,120,30,6,36,"diesel",5.3
"335",8,"5","4660","1530","280",45,54,4,9,17,2,167,9,120,30,6,36,"diesel",6
"336",8,"5","4660","1540","305",45,54,4,9,17,4,167,9,136,30,6,36,"diesel",5.8
"337",8,"5","4660","1585","320",42,54,4,9,17,4,9,9,150,30,6,36,"diesel",6
"338",8,"5","4660","1545","320",45,54,4,9,17,4,167,9,150,30,6,35,"diesel",6.9
"339",8,"5","4660","1530","190",44,54,4,9,16,4,9,9,160,30,6,36,"95",8.8
"340",8,"5","4660","1540","360",45,54,4,9,17,4,167,9,163,30,6,36,"diesel",5.2
"341",8,"5","4660","1540","360",45,54,4,9,17,4,167,9,170,30,6,36,"diesel",5.2
"342",8,"5","4660","1540","360",45,54,4,9,17,4,167,9,170,30,6,36,"diesel",5.5
"343",8,"5","4660","1495","230",44,54,4,9,16,4,9,9,185,30,6,36,"95",9.5
"344",8,"5","4660","1540","230",44,54,4,9,16,4,9,9,185,30,6,37,"95",9.3
"345",8,"5","4660","1635","400",45,54,5,9,17,4,167,9,200,30,6,36,"diesel",7
"346",8,"5","4660","1635","400",45,54,5,9,17,4,167,9,210,30,6,36,"diesel",6.9
"347",8,"5","4660","1635","400",45,54,5,9,17,4,167,9,200,30,6,35,"diesel",8.1
"348",8,"5","4660","1695","400",45,54,5,9,17,4,167,9,210,31,6,36,"diesel",7.4
"349",8,"5","4660","1590","322",44,53,6,9,16,4,9,9,260,30,6,36,"95",11
"350",8,"5","4660","1660","322",44,53,6,9,16,4,9,9,260,31,6,35,"95",12.3
"351",8,"5","4660","1660","322",44,53,6,9,16,4,9,9,260,31,6,36,"95",11.5
"352",4,"5","4555","1200","188",42,54,4,9,16,2,9,9,143,30,5,36,"95",8
"353",4,"5","4565","1400","187",42,54,4,9,16,2,9,9,144,30,5,36,"95",8
"354",4,"5","4555","1380","191",42,54,4,9,16,2,9,9,146,30,5,36,"95",8
"355",4,"5","4555","1200","186",42,54,4,9,16,2,9,9,148,30,5,36,"95",8
"356",4,"5","4555","1250","265",42,54,4,9,16,2,167,9,175,30,5,36,"95",8
"357",4,"5","4665","1510","271",42,53,6,9,16,2,9,9,201,30,5,36,"95",9
"358",4,"5","4555","1500","279",42,53,6,9,16,4,167,9,205,30,5,36,"95",9
"359",4,"5","4550","1320","258",42,54,4,9,17,2,167,9,117,30,5,36,"diesel",6
"360",4,"5","4565","1490","288",42,54,4,9,17,2,167,9,125,30,5,36,"diesel",6
"361",4,"5","4670","1470","260",41,53,6,9,16,2,9,9,192,30,4,35,"95",8.9
"362",4,"5","4565","1510","225",42,53,6,9,16,2,9,9,180,30,5,36,"95",9
"363",4,"5","4670","1470","255",42,53,6,9,16,2,9,9,184,30,5,36,"95",8
"364",4,"5","4670","1470","260",41,53,6,9,16,2,9,9,192,30,5,36,"95",8.9
"365",4,"5","4565","1530","266",42,53,6,9,16,4,9,9,210,30,5,36,"95",9
"367",4,"5","4550","1510","284",42,53,6,9,16,4,9,9,230,31,5,36,"95",9
"368",4,"5","4555","1680","280",42,53,6,9,16,4,9,9,232,31,6,36,"95",10
"369",4,"5","4670","1470","255",42,53,6,9,16,2,9,9,184,30,5,36,"95",8
"370",4,"5","4555","1430","269",42,53,6,9,16,4,9,9,200,31,5,36,"95",9
"371",4,"5","4720","1420","181",42,54,4,9,16,4,9,9,150,30,6,36,"95",9
"372",4,"5","4720","1420","187",42,54,4,9,16,4,9,9,155,30,5,36,"95",9
"375",4,"5","4720","1490","305",42,54,5,9,17,2,167,9,140,30,6,36,"diesel",7
"376",4,"5","4720","1490","305",42,54,5,9,17,2,167,9,150,30,6,36,"diesel",7
"377",4,"5","4720","1580","330",42,54,5,9,17,4,167,9,175,30,6,36,"diesel",7
"380",4,"5","4720","1490","221",42,53,6,9,16,4,9,9,188,30,6,36,"95",11
"382",4,"5","4720","1510","265",42,53,6,9,16,4,9,9,220,30,6,36,"95",12
"384",4,"5","4720","1540","289",42,53,6,9,16,4,9,9,240,30,6,36,"95",12
"404",2,"2","3989","895","350",44,54,4,9,16,4,167,9,241,29,6,37,"98",6.8
"424",2,"2","4381","1585","471",41,53,8,9,16,4,9,9,444,29,6,36,"98",15
"427",6,"4","4413","1470","185",41,54,4,9,16,4,9,9,185,30,6,35,"98",9.8
"428",6,"4","4413","1470","185",41,54,4,9,16,4,9,9,185,30,6,36,"98",9.4
"429",6,"4","4413","1470","400",45,54,5,9,17,4,167,9,200,30,6,36,"diesel",6.8
"430",6,"4","4413","1720","322",44,53,6,9,16,4,9,9,260,31,6,35,"98",12
"431",6,"4","4413","1620","322",44,53,6,9,16,4,9,9,260,31,6,36,"98",11.5
"457",4,"4, 5","4643","1504","330",44,54,4,9,16,4,168,9,200,29,8,35,"95",6
"458",4,"4, 5","4643","1605","400",44,54,4,9,16,4,168,9,280,32,8,35,"95",6.4
"459",4,"4, 5","4643","1540","450",45,54,4,9,17,4,167,9,180,29,8,35,"diesel",3.8
"460",4,"4, 5","4643","1520","450",45,54,4,9,17,4,167,9,150,29,8,35,"diesel",4.2
"461",4,"4, 5","4643","1520","450",45,54,4,9,17,4,167,9,180,29,8,35,"diesel",4.2
"462",4,"4, 5","4643","1610","450",45,54,4,9,17,4,167,9,180,32,8,35,"diesel",4.7
"463",4,"4, 5","4643","1610","470",45,54,4,9,17,4,167,9,210,32,8,35,"diesel",4.7
"464",4,"4, 5","4643","1449","380",45,54,4,9,17,4,167,9,180,29,6,36,"diesel",4.2
"465",4,"4","4639","1695","600",44,53,6,9,16,4,169,9,510,29,8,35,"95",8.2
"466",4,"4","4639","1670","600",44,53,6,9,16,4,169,9,510,29,6,36,"95",8.5
"504",6,"5","4351","1280","206",41,54,4,9,16,4,167,9,120,30,6,36,"95",6.4
"505",6,"5","4351","1355","215",44,54,4,9,16,4,9,9,120,30,6,36,"95",6.4
"506",6,"5","4351","1290","250",41,54,4,9,16,4,167,9,170,30,6,36,"95",5.8
"507",6,"5","4351","1365","250",44,54,4,9,16,4,167,9,170,31,6,37,"95",5.1
"508",6,"5","4351","1310","320",45,54,4,9,17,4,167,9,105,30,6,36,"diesel",4.4
"509",6,"5","4351","1320","340",44,54,4,9,16,4,167,9,235,30,6,36,"95",7.6
"510",6,"5","4351","1320","350",45,54,4,9,17,4,167,9,170,30,6,36,"diesel",4.7
"515",2,"4","4480","1300","163",42,54,4,9,16,4,9,9,140,30,5,36,"95",8
"516",2,"4","4480","1365","305",42,54,4,9,17,4,9,9,150,30,6,36,"diesel",6
"518",2,"4","4480","1320","206",42,54,4,9,16,4,9,9,165,30,5,36,"95",8
"519",2,"4","4480","1320","206",42,54,4,9,16,4,9,9,165,30,5,37,"95",8.7
"520",2,"4","4480","1410","289",42,53,6,9,16,4,9,9,240,30,6,36,"95",12
"522",2,"4","4285","1370","206",44,54,4,9,16,4,9,9,165,30,5,36,"95",9.2
"523",2,"4","4285","1370","181",41,54,4,9,16,4,9,9,150,30,5,36,"95",9.2
"524",2,"4","4285","1370","271",41,53,6,9,16,2,167,9,202,30,5,36,"95",9.5
"527",2,"4","4299","1370","289",41,53,6,9,16,4,9,9,240,30,6,36,"95",13.2
"528",6,"5","4063","1150","200",45,54,4,9,17,4,167,9,95,30,5,36,"diesel",4.3
"529",6,"5","4063","1150","200",45,54,4,9,17,4,167,9,90,30,6,36,"diesel",4.5
"530",6,"5","4063","1155","129",41,54,4,9,16,4,167,9,95,30,6,36,"95",5.9
"531",6,"5","4063","1182","206",41,54,4,9,16,4,167,9,120,30,5,36,"95",8.1
"532",6,"5","4063","1080","120",42,54,4,9,16,4,9,9,78,29,6,36,"95",5.9
"533",6,"5","4063","1090","130",41,54,4,9,16,4,9,9,105,30,6,36,"95",5.7
"534",6,"5","4063","1135","206",41,54,4,9,16,4,9,9,135,29,6,36,"95",5.6
"535",6,"5","4063","1090","250",41,54,4,9,16,4,167,9,170,30,6,36,"95",6
"536",6,"5","4063","1220","230",41,54,4,9,16,4,167,9,155,30,6,36,"95",6.5
"537",6,"5","4063","1145","230",41,54,4,9,16,4,167,9,135,30,5,36,"95",6.1
"538",6,"5","4063","1180","230",41,54,4,9,16,4,167,9,135,30,6,37,"95",5.5
"539",6,"5","4063","1280","320",44,54,4,9,17,4,167,9,120,30,6,36,"diesel",4.8
"540",9,"4, 5","4063","1130","120",46,56,2,62,18,4,170,175,105,30,6,36,"95",4.2
"541",9,"4, 5","4063","1170","206",47,56,4,63,18,4,170,175,135,30,6,37,"98",5.5
"542",9,"4, 5","4063","1170","230",46,56,4,63,18,4,170,175,140,30,6,37,"95",5.4
"543",9,"4, 5","4063","1170","230",46,56,4,63,18,4,170,175,170,30,6,37,"95",5.4
"544",9,"4, 5","4063","1155","190",46,56,4,9,18,4,170,9,140,30,6,36,"95",5.6
"545",9,"4, 5","4063","1145","250",47,56,4,63,18,4,170,175,170,30,6,36,"98",6
"546",9,"4, 5","4063","1065","115",46,56,4,64,18,4,171,175,70,30,5,36,"95",5.8
"547",9,"4, 5","4063","1155","115",46,56,4,65,18,2,171,9,78,30,6,36,"95",5.9
"548",9,"4, 5","4063","1280","320",9,56,4,9,19,4,170,9,120,30,6,36,"diesel",4.8
"549",6,"5","4063","1130","145",41,54,2,9,16,4,167,9,105,30,6,36,"95",4.2
"550",6,"5","4063","1150","200",45,54,4,9,17,4,167,9,85,30,5,36,"diesel",3.5
"551",6,"5","4063","1135","206",41,54,4,9,16,4,167,9,135,30,5,36,"95",5.6
"552",6,"5","4063","1145","250",41,54,4,9,16,4,167,9,170,30,6,36,"95",6
"553",6,"5","4063","1245","250",41,54,4,9,16,4,167,9,170,30,6,37,"95",5.4
"554",6,"5","4063","1170","230",41,54,4,9,16,4,167,9,140,30,6,37,"95",5.5
"555",6,"5","4063","1205","320",45,54,4,9,17,4,167,9,120,30,6,36,"diesel",4.4
"582",3,"2","4285","1445","186",41,54,4,9,16,4,9,9,150,30,5,36,"95",9.2
"583",3,"2","4285","1370","187",42,54,4,9,16,4,9,9,155,30,5,36,"95",9.2
"584",3,"2","4280","1370","206",44,54,4,9,16,4,9,9,165,30,5,36,"95",9
"587",3,"2","4285","1490","265",41,53,6,9,16,4,9,9,220,30,6,36,"95",11.7
"588",3,"2","4285","1470","289",41,53,6,9,16,4,9,9,240,30,6,36,"95",13.2
"598",3,"2","4393","1530","230",42,54,4,9,16,4,9,9,185,30,6,36,"98",9.5
"600",3,"2","4393","1765","322",44,53,6,9,16,4,9,9,260,32,6,35,"95",9.3
"601",3,"2","4393","1690","322",44,53,6,9,16,4,9,9,260,31,6,36,"98",11
"602",5,"5","4687","1735","330",44,54,4,9,16,4,168,9,200,32,8,35,"95",7
"603",5,"5","4687","1735","400",44,54,4,9,16,4,168,9,280,32,8,35,"95",7
"604",5,"5","4687","1679","450",45,54,4,9,17,4,167,9,150,30,8,35,"diesel",4.7
"605",5,"5","4687","1679","450",45,54,4,9,17,4,167,9,180,30,8,35,"diesel",4.7
"606",5,"5","4687","1734","450",45,54,4,9,17,4,167,9,180,32,8,35,"diesel",4.8
"607",5,"5","4687","1734","470",45,54,4,9,17,4,167,9,210,32,8,35,"diesel",4.8
"608",5,"5","4687","Other","600",44,53,6,9,16,4,169,9,510,32,8,35,"95",9
"609",4,"5","4775","1540","335",42,54,6,9,16,4,9,9,280,29,5,36,"98",10
"610",4,"5","4775","1540","480",42,53,8,9,16,4,9,9,347,29,5,35,"95",13
"612",8,"5","4805","1640","335",42,54,6,9,16,4,9,9,280,29,5,36,"98",10
"613",8,"5","4805","1800","480",42,53,8,9,16,4,9,9,347,29,5,35,"95",13
"615",2,"4","4780","1790","470",42,53,12,9,16,2,9,9,350,29,4,35,"98",10
"617",2,"4","4780","1865","570",41,53,12,9,16,2,9,9,416,29,6,36,"95",13
"619",4,"5","4984","2035","560",41,53,12,9,16,2,9,9,387,29,5,35,"95",11
"621",1,"4","4433","1450","320",42,54,6,9,16,4,9,9,250,29,5,36,"95",9
"626",4,"5","4433","1330","320",42,54,6,9,16,4,9,9,250,29,5,36,"95",9
"627",4,"5","4433","1330","330",42,54,6,9,16,4,9,9,265,29,6,36,"95",9
"628",1,"4","4488","1620","335",42,54,6,9,16,4,9,9,280,29,6,36,"98",11
"629",1,"4","4488","1620","362",42,54,6,9,16,4,9,9,305,29,6,36,"98",11
"634",4,"5","4471","1560","335",42,54,6,9,16,4,9,9,280,31,5,35,"98",11
"635",4,"5","4471","1450","335",42,54,6,9,16,4,9,9,280,29,6,36,"98",10
"636",4,"5","4471","1450","362",42,54,6,9,16,4,9,9,305,29,6,36,"98",10
"637",8,"5","4478","1630","335",42,54,6,9,16,4,9,9,280,31,5,35,"98",11
"638",8,"5","4478","1620","335",42,54,6,9,16,4,9,9,280,29,6,36,"98",11
"639",8,"5","4478","1525","362",42,54,6,9,16,4,9,9,305,29,6,36,"98",11
"645",1,"4","4580","1845","500",42,54,6,9,16,4,169,9,360,29,6,35,"98",9.9
"646",2,"5","4580","1670","500",42,54,6,9,16,4,169,9,360,31,6,35,"98",10.1
"647",2,"5","4580","1560","500",42,54,6,9,16,4,169,9,360,29,6,35,"98",9.7
"648",2,"4","4668","1535","540",44,54,6,9,16,4,169,9,408,29,6,35,"98",9.6
"649",4,"5","4545","1680","500",42,54,6,9,16,4,169,9,360,31,6,35,"95",10.2
"650",4,"5","4545","1570","500",42,54,6,9,16,4,169,9,360,29,6,35,"98",9.8
"651",8,"5","4541","1750","500",42,54,6,9,16,4,9,9,360,31,6,35,"98",10.2
"652",8,"5","4541","1650","500",42,54,6,9,16,4,9,9,360,29,6,35,"98",9.9
"660",4,"5","4628","1610","600",44,54,6,9,16,4,169,9,410,29,8,35,"98",7.6
"661",4,"5","4628","1680","600",44,54,6,9,16,4,169,9,410,31,8,35,"98",7.9
"662",8,"5","4628","1675","600",44,54,6,9,16,4,169,9,410,29,8,35,"98",7.7
"663",8,"5","4628","1745","600",44,54,6,9,16,4,169,9,410,31,8,35,"98",8
"670",2,"4","4640","1615","600",44,54,6,9,16,4,169,9,410,29,8,35,"98",7.6
"671",2,"4","4640","1680","600",44,54,6,9,16,4,169,9,410,31,8,35,"98",7.9
"674",4,"5","4841","1720","725",41,53,8,9,16,4,9,9,530,29,6,35,"98",12.3
"675",8,"5","4843","1810","725",41,53,8,9,16,4,9,9,530,29,6,35,"98",12.4
"676",4,"5","4905","1920","730",44,53,8,9,16,4,169,9,540,29,8,35,"98",10.5
"677",8,"5","4913","1990","730",44,53,8,9,16,4,169,9,540,29,8,35,"98",10.6
"686",1,"4","4829","1930","725",42,53,8,9,16,4,9,9,530,29,6,35,"98",12.8
"687",2,"4","4829","1720","725",42,53,8,9,16,4,9,9,530,29,6,35,"98",12.3
"688",1,"4","4894","2020","730",44,53,8,9,16,4,169,9,540,29,8,35,"98",9.6
"689",2,"4","4894","1870","730",44,53,8,9,16,4,169,9,540,29,8,35,"98",9.4
"690",4,"4","5007","2030","730",44,53,8,9,16,4,169,9,540,31,8,35,"98",10.4
"697",4,"5","5170","1990","700",41,53,8,9,16,4,9,9,500,29,6,35,"98",15.9
"698",4,"5","5030","1970","700",41,53,8,9,16,4,9,9,500,29,6,35,"98",15.9
"699",4,"5","5227","2070","700",42,53,8,9,16,4,9,9,507,29,6,35,"98",11.9
"700",4,"5","5227","2160","700",42,53,8,9,16,4,9,9,507,31,6,35,"98",12.1
"701",4,"5","5087","2040","700",42,53,8,9,16,4,9,9,507,29,6,35,"98",12.1
"702",4,"5","5087","2130","700",42,53,8,9,16,4,9,9,507,31,6,35,"98",12.4
"703",4,"5","5232","2070","730",44,53,8,9,16,4,169,9,540,29,8,35,"98",9.9
"704",4,"5","5232","2160","730",44,53,8,9,16,4,169,9,540,31,8,35,"98",10.4
"705",4,"5","5092","2040","730",44,53,8,9,16,4,169,9,540,29,8,35,"98",9.9
"706",4,"5","5092","2130","730",44,53,8,9,16,4,169,9,540,31,8,35,"98",10.4
"707",4,"5","4433","1490","410",42,53,8,9,16,4,9,9,313,29,6,36,"95",11
"708",4,"5","4433","1500","470",42,53,8,9,16,4,9,9,333,29,6,36,"95",11
"714",4,"5","4775","1625","500",42,54,6,9,17,4,169,9,245,29,6,36,"diesel",7
"716",8,"5","4805","1735","500",42,54,6,9,17,4,169,9,245,29,6,36,"diesel",7
"719",2,"4","4580","1490","450",45,54,4,9,17,4,169,9,214,29,6,35,"diesel",6
"720",2,"4","4580","1480","450",45,54,4,9,17,4,169,9,214,29,6,36,"diesel",5.4
"724",4,"5","4628","1585","700",45,54,6,9,17,4,169,9,350,29,8,35,"diesel",5.3
"725",8,"5","4628","1655","700",45,54,6,9,17,4,169,9,350,29,8,35,"diesel",5.4
"726",8,"5","4628","1720","700",45,54,6,9,17,4,169,9,350,31,8,35,"diesel",5.6
"731",4,"5","4905","1865","700",45,54,6,9,17,4,169,9,350,29,8,35,"diesel",5.9
"732",8,"5","4913","1965","700",45,54,6,9,17,4,169,9,350,29,8,35,"diesel",6.2
"733",4,"5","4913","1865","700",45,54,6,9,17,4,169,9,350,29,8,35,"diesel",5.9
"734",8,"5","4913","1990","700",45,54,6,9,17,4,169,9,350,29,8,35,"diesel",6.2
"741",3,"2","4400","1615","520",41,53,8,9,16,4,9,9,381,29,5,36,"95",9
