"","Body_type","number_of_seats","length_mm","curb_weight_kg","maximum_torque_n_m","injection_type","cylinder_layout","number_of_cylinders","compression_ratio","engine_type","valves_per_cylinder","boost_type","engine_placement","engine_hp","drive_wheels","number_of_gears","transmission","fuel_grade","Fuel_Economy"
"67566",8,"5","4556","1394","148",41,54,4,9,16,2,9,9,102,30,5,35,"95",8.2
"67567",8,"5","4556","1353","148",41,54,4,9,16,2,9,9,102,30,5,36,"95",7.4
"67568",8,"5","4556","1549","250",42,54,4,9,17,2,167,9,105,31,6,36,"diesel",6
"67569",8,"5","4556","1469","250",42,54,4,9,17,2,167,9,105,30,6,37,"diesel",6
"67570",8,"5","4556","1451","250",42,54,4,9,17,2,167,9,105,30,7,37,"diesel",5.3
"67571",8,"5","4556","1436","250",42,54,4,9,17,2,167,9,105,30,5,36,"diesel",5.2
"67572",8,"5","4556","1489","320",42,54,4,9,17,2,167,9,140,30,6,37,"diesel",6.1
"67573",8,"5","4556","1477","320",42,54,4,9,17,2,167,9,140,30,6,36,"diesel",5.6
"67574",4,"5","4554","1391","320",45,54,4,9,17,4,167,9,140,30,6,37,"diesel",6.1
"67575",4,"5","4554","1486","320",45,54,4,9,17,4,167,9,140,30,6,36,"diesel",5.1
"67576",4,"5","4644","1417","200",44,54,4,9,16,4,167,9,122,30,7,37,"95",6
"67577",4,"5","4644","1417","240",44,54,4,9,16,4,173,9,150,30,7,37,"95",6
"67578",4,"5","4644","1400","200",44,54,4,9,16,4,167,9,122,30,6,36,"95",6.2
"67579",4,"5","4644","1400","240",44,54,4,9,16,4,173,9,150,30,6,36,"95",6.3
"67580",4,"5","4644","1252","153",41,54,4,9,16,4,9,9,105,30,6,35,"95",7.4
"67581",4,"5","4644","1235","153",41,54,4,9,16,4,9,9,105,30,5,36,"95",6.7
"67582",4,"5","4644","1227","145",41,54,4,9,16,4,9,9,85,30,5,36,"95",6.7
"67583",4,"5","4644","1412","249",45,54,4,9,17,4,167,9,105,30,7,37,"diesel",4.7
"67584",4,"5","4644","1392","249",45,54,4,9,17,4,167,9,105,30,5,36,"diesel",4.5
"67586",4,"5","4644","1434","320",45,54,4,9,17,4,167,9,140,30,6,36,"diesel",4.8
"67587",4,"5","4644","1450","280",44,54,4,9,16,4,173,9,200,30,6,37,"95",7.7
"67588",4,"5","4644","1417","280",44,54,4,9,16,4,173,9,200,30,6,36,"95",7.2
"67589",4,"5","4659","1417","200",44,54,4,9,16,4,167,9,122,30,7,37,"95",6
"67590",4,"5","4659","1340","200",44,54,4,9,16,4,167,9,125,30,7,37,"95",5.2
"67591",4,"5","4659","1417","240",44,54,4,9,16,4,173,9,150,30,7,37,"95",5.7
"67592",4,"5","4659","1400","200",44,54,4,9,16,4,167,9,122,30,6,36,"95",6.2
"67593",4,"5","4659","1315","200",44,54,4,9,16,4,167,9,125,30,6,36,"95",5.3
"67594",4,"5","4659","1400","240",44,54,4,9,16,4,173,9,150,30,6,36,"95",6.3
"67595",4,"5","4659","1252","153",41,54,4,9,16,4,9,9,105,30,6,35,"95",7.4
"67596",4,"5","4659","1280","153",41,54,4,9,16,4,9,9,110,30,6,35,"95",6.5
"67597",4,"5","4659","1235","153",41,54,4,9,16,4,9,9,105,30,5,36,"95",6.7
