"","pred","real"
"1",8.86846034449319,9
"2",8.98580448482694,8.98648285739862
"3",8.98580448482694,8.98648285739862
"4",8.98142814281025,9
"5",8.98325674514367,9
"6",8.97230354265509,9
"7",8.97432852251366,9
"8",8.98579772625565,8.98648285739862
"9",8.7513839935249,9
"10",8.84668229716826,9
"11",8.92596213633516,9
"12",8.69641875380982,9
"13",8.84573467833377,9
"14",8.98648285739879,8.98648285739862
"15",8.99996203935786,9
"16",8.99989400307343,9
"17",8.99993646942977,9
"18",8.999428044341,9
"19",8.98648285739879,8.98648285739862
"20",8.98648285739879,8.98648285739862
"21",8.99670423566974,9
"22",8.98648285739879,8.98648285739862
"23",8.99412350878764,9
"24",8.99995877271507,9
"25",8.99994277742966,9
"26",8.98638420911304,8.98648285739862
"27",8.98638420911304,8.98648285739862
"28",8.98638420911304,8.98648285739862
"29",8.98648285739879,8.98648285739862
"30",8.98648285739879,8.98648285739862
"31",8.98648285739879,8.98648285739862
"32",8.99435671157461,9
"33",8.999,9
"34",8.999875,9
"35",8.98648285739879,8.98648285739862
"36",8.99383929892877,9
"37",8.99517482693283,9
"38",8.99416597961985,9
"39",8.99996260257214,9
"40",8.98648285739879,8.98648285739862
"41",8.98648285739879,8.98648285739862
"42",9,9
"43",8.98648285739879,8.98648285739862
"44",8.99916486214305,9
"45",8.99998208978605,9
"46",8.99067166845702,9
"47",8.99923040014323,9
"48",8.99948569435741,9
"49",8.98648285739879,8.98648285739862
"50",8.98648285739879,8.98648285739862
"51",8.98648285739879,8.98648285739862
"52",8.98648285739879,8.98648285739862
"53",8.99997566914332,9
"54",8.99252181093905,9
"55",8.99998794721451,9
"56",8.99998794721451,9
"57",8.97686292483514,9
"58",8.99791260257214,9
"59",8.99924695864291,9
"60",8.99586406319936,9
"61",8.96709581505685,9
"62",8.99425321144034,9
"63",8.99310382388924,9
"64",8.99365918300362,9
"65",8.99201254214783,9
"66",8.99358504610152,9
"67",8.99867745128756,9
"68",8.99990538000179,9
"69",8.99650002760124,9
"70",8.93998643735268,9
"71",8.98673500507267,9
"72",8.97690760898757,9
"73",8.94776635484738,9
"74",8.99581651821681,9
"75",8.99343745412228,9
"76",8.01038050831021,8
"77",8.42627203622475,8
"78",8.97539889147497,9
"79",8.40232884477666,8
"80",8.99965612281943,9
"81",8.98648285739879,8.98648285739862
"82",8.99929155178588,9
"83",8.99957645092949,9
"84",8.9999111247874,9
"85",8.99987361471668,9
"86",8.98648285739879,8.98648285739862
"87",8.97383653805987,9
"88",8.98648285739879,8.98648285739862
"89",8.99953770178737,9
"90",8.98648285739879,8.98648285739862
"91",8.98648285739879,8.98648285739862
"92",8.99997397950049,9
"93",8.99999662071435,9
"94",8.99997409214335,9
"95",8.99997409214335,9
