"","left daughter","right daughter","split var","split point","status","prediction"
"4583",0,0,NA,0,-1,9
"4584",5208,5209,"curb_weight_kg",5.47404840169597,-3,9
"4585",0,0,NA,0,-1,9
"4586",0,0,NA,0,-1,8.98648285739862
"4587",5210,5211,"curb_weight_kg",4.97404840169597,-3,8.98648285739862
"4588",5212,5213,"curb_weight_kg",4.97404840169597,-3,8.99098857159908
"4589",5214,5215,"highway_fuel_per_100km_l",7.85,-3,9
"4590",0,0,NA,0,-1,9
"4591",0,0,NA,0,-1,8.98648285739862
"4592",0,0,NA,0,-1,8.98648285739862
"4593",0,0,NA,0,-1,8.98648285739862
"4594",5216,5217,"acceleration_0_100_km.h_s",10,-3,8.99945931429595
"4595",5218,5219,"highway_fuel_per_100km_l",5.5,-3,9
"4596",0,0,NA,0,-1,9
"4597",0,0,NA,0,-1,9
"4598",0,0,NA,0,-1,9
"4599",0,0,NA,0,-1,9
"4600",0,0,NA,0,-1,9
"4601",0,0,NA,0,-1,9
