"","pred","real"
"1",8.89607597499479,9
"2",8.98577025390324,8.98648285739862
"3",8.98577025390324,8.98648285739862
"4",8.97731755661982,9
"5",8.97721440038194,9
"6",8.97959998284249,9
"7",8.98154854832454,9
"8",8.98577025390324,8.98648285739862
"9",8.76327677766837,9
"10",8.85389309745471,9
"11",8.91416426312177,9
"12",8.660319182215,9
"13",8.83330746735809,9
"14",8.98500313666515,8.98648285739862
"15",8.99990177543043,9
"16",8.99892574597918,9
"17",8.99994187628682,9
"18",8.99715978500881,9
"19",8.98648286095125,8.98648285739862
"20",8.98648286095125,8.98648285739862
"21",8.99604701533733,9
"22",8.98648286095125,8.98648285739862
"23",8.99348454331155,9
"24",8.99989704443052,9
"25",8.99905458702593,9
"26",8.98638683802621,8.98648285739862
"27",8.98638683802621,8.98648285739862
"28",8.98638682729832,8.98648285739862
"29",8.98648286095125,8.98648285739862
"30",8.98648286095125,8.98648285739862
"31",8.98648286095125,8.98648285739862
"32",8.99289265359711,9
"33",8.99915990809537,9
"34",8.9996932414287,9
"35",8.98648286095125,8.98648285739862
"36",8.99645,9
"37",8.99009110382538,9
"38",8.99611867185868,9
"39",8.99999459314296,9
"40",8.98648286095125,8.98648285739862
"41",8.98648286095125,8.98648285739862
"42",8.99999695864291,9
"43",8.98648286095125,8.98648285739862
"44",8.99727584034554,9
"45",8.99935742771462,9
"46",8.9902921493152,9
"47",8.99998715871453,9
"48",8.99998118864321,9
"49",8.98648286095125,8.98648285739862
"50",8.98648286095125,8.98648285739862
"51",8.98648286095125,8.98648285739862
"52",8.98648286095125,8.98648285739862
"53",8.99996429221496,9
"54",8.9928015687942,9
"55",8.99999560692866,9
"56",8.99999729657148,9
"57",8.97163037776385,9
"58",8.99801727053681,9
"59",8.9997364828574,9
"60",8.99454315991353,9
"61",8.97404979373677,9
"62",8.99306643646429,9
"63",8.98311680728375,9
"64",8.99748054710113,9
"65",8.98968400546058,9
"66",8.99235889953153,9
"67",8.99906489160923,9
"68",8.99995505550085,9
"69",8.99304281398264,9
"70",8.92870216076493,9
"71",8.97720931578792,9
"72",8.9729772744905,9
"73",8.9544110022337,9
"74",8.99543001521798,9
"75",8.99326988631278,9
"76",8.01360246919106,8
"77",8.41645267284338,8
"78",8.97136581923434,9
"79",8.41404002775043,8
"80",8.99963391072122,9
"81",8.98598961952255,8.98648285739862
"82",8.99948603228598,9
"83",8.99911247650166,9
"84",8.99989524214484,9
"85",8.99986978485961,9
"86",8.98648286095125,8.98648285739862
"87",8.95524400904128,9
"88",8.98648286095125,8.98648285739862
"89",8.99885346507326,9
"90",8.98648286095125,8.98648285739862
"91",8.98648286095125,8.98648285739862
"92",8.99995899800077,9
"93",8.9999977471429,9
