"","left daughter","right daughter","split var","split point","status","prediction"
"3973",4564,4565,"stroke_cycle_mm",91.5,-3,8.99998691467318
"3974",0,0,NA,0,-1,8.98648285739862
"3975",4566,4567,"engine_hp_rpm",5.0715342395266,-3,9
"3976",4568,4569,"city_fuel_per_100km_l",0,-3,9
"3977",0,0,NA,0,-1,9
"3978",4570,4571,"stroke_cycle_mm",68,-3,8.99324142869931
"3979",0,0,NA,0,-1,8.98648285739862
"3980",4572,4573,"number_of_cylinders",3,-3,8.99950141687126
"3981",0,0,NA,0,-1,8.99098857159908
"3982",0,0,NA,0,-1,9
"3983",0,0,NA,0,-1,9
"3984",0,0,NA,0,-1,9
"3985",0,0,NA,0,-1,8.98648285739862
"3986",0,0,NA,0,-1,9
"3987",4574,4575,"acceleration_0_100_km.h_s",7.75,-3,9
"3988",0,0,NA,0,-1,9
"3989",0,0,NA,0,-1,9
"3990",0,0,NA,0,-1,9
"3991",0,0,NA,0,-1,9
"3992",4576,4577,"X",19878,-3,9
"3993",0,0,NA,0,-1,9
"3994",0,0,NA,0,-1,8.98648285739862
"3995",4578,4579,"mixed_fuel_consumption_per_100_km_l",6.05,-3,9
"3996",0,0,NA,0,-1,9
"3997",0,0,NA,0,-1,9
"3998",4580,4581,"cylinder_bore_mm",73.5,-3,8.99986550106864
"3999",4582,4583,"maximum_torque_n_m",3.5,-3,8.99944827989382
"4000",4584,4585,"engine_hp",94.5,-3,8.99948010989995
"4001",0,0,NA,0,-1,8.98648285739862
"4002",4586,4587,"valves_per_cylinder",2.5,-3,8.99995273726363
"4003",4588,4589,"acceleration_0_100_km.h_s",10.3819513377926,-3,8.99792043959979
"4004",0,0,NA,0,-1,9
"4005",0,0,NA,0,-1,9
"4006",4590,4591,"engine_hp_rpm",303,-3,9
"4007",4592,4593,"engine_hp",356,-3,9
"4008",4594,4595,"mixed_fuel_consumption_per_100_km_l",10.9491820375512,-3,9
"4009",0,0,NA,0,-1,8.98648285739862
"4010",0,0,NA,0,-1,9
"4011",4596,4597,"maximum_torque_n_m",3.5,-3,9
"4012",4598,4599,"X",30011.5,-3,8.99915517858741
"4013",0,0,NA,0,-1,8.98986214304897
"4014",4600,4601,"Year_from",2007.5,-3,8.99925593710451
"4015",4602,4603,"engine_hp_rpm",7.5,-3,8.99987175386526
"4016",4604,4605,"capacity_cm3",1.5,-3,9
"4017",4606,4607,"X",63312.5,-3,8.9922759185135
"4018",4608,4609,"curb_weight_kg",1.47404840169596,-3,8.99699619053303
"4019",4610,4611,"number_of_seats",4.5,-3,8.99975423377088
"4020",0,0,NA,0,-1,9
"4021",4612,4613,"Year_from",0,-3,9
"4022",4614,4615,"cylinder_bore_mm",0,-3,9
"4023",0,0,NA,0,-1,9
"4024",0,0,NA,0,-1,9
"4025",0,0,NA,0,-1,9
"4026",4616,4617,"capacity_cm3",0,-3,9
"4027",4618,4619,"X",14955.5,-3,9
"4028",4620,4621,"engine_hp_rpm",4.5,-3,9
"4029",0,0,NA,0,-1,9
"4030",4622,4623,"capacity_cm3",0,-3,9
"4031",0,0,NA,0,-1,9
"4032",0,0,NA,0,-1,9
"4033",4624,4625,"length_mm",4.5,-3,9
"4034",4626,4627,"cylinder_bore_mm",73,-3,9
"4035",0,0,NA,0,-1,9
"4036",0,0,NA,0,-1,9
"4037",0,0,NA,0,-1,9
"4038",0,0,NA,0,-1,9
"4039",4628,4629,"acceleration_0_100_km.h_s",3.5,-3,9
"4040",0,0,NA,0,-1,9
"4041",0,0,NA,0,-1,9
"4042",4630,4631,"X",1412,-3,9
"4043",0,0,NA,0,-1,9
"4044",0,0,NA,0,-1,8.98648285739862
"4045",4632,4633,"stroke_cycle_mm",81.5,-3,9
